asdfasfd,showInSandbox,unitAsset,bulletAsset,corpseAsset,attackWindUpAnimationName,attackAnimationName,startAnimationName,moveAnimationName,deathAnimationName
T2X,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T2Z,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T2G,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T3A,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T3J,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T3X,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T3Z,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T3G,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T4A,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T4J,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T4X,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T4Z,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T4G,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
velocityTest1,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
velocityTest2,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
